MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2024-10-26,Angers,St Etienne,4,2,H,2,1,H,13,19,8,7,10,13,2,3,1,3,0,0,2.45,3.3,2.9,2.37,3.3,2.95,2.48,3.19,3.16,2.2,3.5,3.2,2.29,3.4,3.37,2024-25
2024-10-26,Reims,Brest,1,2,A,1,2,A,11,13,3,4,15,11,7,3,3,2,0,0,2.15,3.5,3.25,2.2,3.5,3.1,2.2,3.55,3.38,1.85,3.5,4.33,1.9,3.54,4.53,2024-25
2024-10-26,Lens,Lille,0,2,A,0,0,D,11,11,4,3,16,14,8,2,4,4,0,0,2.3,3.4,3.1,2.35,3.3,3.0,2.38,3.35,3.18,2.05,3.4,3.7,2.1,3.38,3.89,2024-25
2024-10-27,Lyon,Auxerre,2,2,D,1,0,H,12,17,8,4,7,14,5,4,0,4,0,0,1.48,5.0,5.5,1.55,4.5,5.5,1.49,4.89,6.14,1.42,5.25,5.75,1.46,5.07,6.72,2024-25
2024-10-27,Montpellier,Toulouse,0,3,A,0,3,A,9,15,2,6,8,20,1,3,1,2,1,0,3.1,3.6,2.2,3.1,3.6,2.2,3.23,3.68,2.21,3.2,3.7,2.1,3.44,3.7,2.14,2024-25
2024-10-27,Nice,Monaco,2,1,H,1,1,D,17,11,9,5,16,11,6,6,2,5,0,1,3.2,3.5,2.2,2.95,3.5,2.25,3.35,3.5,2.23,3.9,3.7,1.91,4.04,3.72,1.95,2024-25
2024-10-27,Strasbourg,Nantes,3,1,H,1,0,H,9,8,5,6,15,17,5,4,2,3,0,0,1.85,3.6,4.2,1.87,3.6,4.0,1.88,3.69,4.33,1.95,3.5,3.9,2.0,3.5,4.11,2024-25
2024-10-27,Marseille,Paris SG,0,3,A,0,3,A,5,19,1,8,4,7,1,2,1,0,1,0,3.9,3.7,1.9,3.4,3.8,1.98,3.8,4.05,1.91,4.1,3.7,1.83,4.14,4.04,1.85,2024-25
2024-11-01,Monaco,Angers,0,1,A,0,1,A,11,10,3,3,16,12,4,4,1,1,0,0,1.22,6.5,12.0,1.22,6.75,12.0,1.21,7.49,12.84,1.27,6.25,10.0,1.26,6.65,10.42,2024-25
2024-11-01,Lille,Lyon,1,1,D,1,0,H,14,14,2,3,12,10,4,9,3,1,0,0,2.15,3.75,3.1,2.15,3.6,3.1,2.25,3.69,3.2,2.2,3.75,3.0,2.28,3.75,3.1,2024-25
