MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-05-12,Nantes,Lille,1.0,2.0,1.55,0.93
2024-05-12,Paris SG,Toulouse,1.0,3.0,0.93,1.55
2024-05-12,Rennes,Lens,1.0,1.0,1.86,1.24
2024-05-12,Strasbourg,Metz,2.0,1.0,0.62,0.62
2024-05-15,Nice,Paris SG,1.0,2.0,1.24,1.24
2024-05-15,Reims,Marseille,1.0,0.0,0.93,0.93
2024-05-19,Le Havre,Marseille,1.0,2.0,1.86,2.17
2024-05-19,Lens,Montpellier,2.0,2.0,4.03,0.62
2024-05-19,Lille,Nice,2.0,2.0,0.93,1.24
2024-05-19,Lorient,Clermont,5.0,0.0,3.1,1.24
2024-05-19,Lyon,Strasbourg,2.0,1.0,1.86,1.24
2024-05-19,Metz,Paris SG,0.0,2.0,0.62,2.48
2024-05-19,Monaco,Nantes,4.0,0.0,1.86,0.93
2024-05-19,Reims,Rennes,2.0,1.0,1.24,1.55
2024-05-19,Toulouse,Brest,0.0,3.0,0.62,1.86
2024-08-16,Le Havre,Paris SG,1.0,4.0,0.62,2.79
2024-08-17,Brest,Marseille,1.0,5.0,1.55,1.55
2024-08-17,Reims,Lille,0.0,2.0,0.0,1.86
2024-08-17,Monaco,St Etienne,1.0,0.0,1.86,1.24
2024-08-18,Auxerre,Nice,2.0,1.0,2.17,0.62
2024-08-18,Angers,Lens,0.0,1.0,0.93,1.55
2024-08-18,Montpellier,Strasbourg,1.0,1.0,1.55,1.24
2024-08-18,Toulouse,Nantes,0.0,0.0,0.93,0.62
2024-08-18,Rennes,Lyon,3.0,0.0,2.48,0.62
2024-08-23,Paris SG,Montpellier,6.0,0.0,3.1,0.93
2024-08-24,St Etienne,Le Havre,0.0,2.0,1.55,1.55
2024-08-24,Lyon,Monaco,0.0,2.0,0.31,1.24
2024-08-24,Lille,Angers,2.0,0.0,1.86,0.62
2024-08-25,Lens,Brest,2.0,0.0,3.41,0.62
2024-08-25,Nantes,Auxerre,2.0,0.0,1.86,0.93
