Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2017-10-21,Monaco,Caen,2,0,H,1,0,H,15,8,6,1,12,17,7,7,3,2,0,0,1.33,5.0,10.0,1.33,5.25,9.25,1.37,5.25,9.55,1.4,5.15,8.9,2017-18
F1,2017-10-21,Nantes,Guingamp,2,1,H,1,0,H,9,10,3,4,13,12,3,6,3,1,0,0,2.1,3.29,3.75,2.1,3.25,3.75,2.18,3.15,4.03,2.29,3.17,3.74,2017-18
F1,2017-10-21,Rennes,Lille,1,0,H,1,0,H,9,7,6,1,13,17,2,6,1,2,0,1,2.14,3.29,3.5,2.2,3.2,3.5,2.25,3.28,3.62,2.15,3.3,3.98,2017-18
F1,2017-10-22,Marseille,Paris SG,2,2,D,1,1,D,11,7,3,3,18,14,3,4,4,3,0,1,6.5,5.0,1.44,7.0,5.0,1.42,7.55,5.54,1.4,8.6,5.8,1.37,2017-18
F1,2017-10-22,Nice,Strasbourg,1,2,A,0,1,A,14,15,9,6,5,5,9,1,0,1,0,1,1.57,4.0,6.0,1.57,4.2,5.75,1.61,4.28,5.84,1.72,3.87,5.54,2017-18
F1,2017-10-22,Troyes,Lyon,0,5,A,0,1,A,9,14,3,10,12,13,4,3,2,2,1,0,5.0,4.0,1.66,5.5,3.75,1.67,5.77,4.09,1.65,6.35,4.34,1.58,2017-18
F1,2017-10-27,Paris SG,Nice,3,0,H,2,0,H,16,8,8,1,10,9,8,2,0,0,0,0,1.14,9.0,17.0,1.15,8.5,15.5,1.16,9.7,18.0,1.15,10.05,19.4,2017-18
F1,2017-10-28,Bordeaux,Monaco,0,2,A,0,0,D,12,12,4,5,22,12,6,2,2,0,0,0,2.5,3.39,2.79,2.6,3.5,2.65,2.58,3.55,2.83,2.57,3.57,2.85,2017-18
F1,2017-10-28,Caen,Troyes,1,0,H,1,0,H,16,8,3,3,12,13,6,6,1,3,0,0,1.66,3.6,5.75,1.7,3.7,5.25,1.68,3.53,6.67,1.71,3.71,5.96,2017-18
F1,2017-10-28,Dijon,Nantes,1,0,H,1,0,H,6,10,1,0,15,19,1,5,3,2,0,0,2.6,3.1,2.89,2.65,3.1,2.85,2.66,3.17,3.0,2.74,3.21,2.91,2017-18
F1,2017-10-28,Guingamp,Amiens,1,1,D,1,1,D,12,7,4,2,16,20,5,5,1,5,0,1,1.66,3.5,6.0,1.65,3.6,6.0,1.67,3.78,6.24,1.96,3.32,4.81,2017-18
F1,2017-10-28,Montpellier,Rennes,0,1,A,0,0,D,9,7,4,2,15,17,4,1,4,2,0,0,2.04,3.1,4.09,2.05,3.2,4.0,2.0,3.19,4.72,2.09,3.21,4.34,2017-18
F1,2017-10-28,Strasbourg,Angers,2,2,D,1,0,H,14,5,6,2,10,12,4,2,3,2,0,0,2.7,3.1,2.79,2.6,3.1,2.95,2.76,3.16,2.89,2.96,3.35,2.61,2017-18
F1,2017-10-29,Lille,Marseille,0,1,A,0,1,A,18,10,7,3,18,17,11,4,2,3,0,0,3.39,3.25,2.25,3.3,3.4,2.2,3.36,3.62,2.22,3.15,3.51,2.39,2017-18
F1,2017-10-29,Lyon,Metz,2,0,H,2,0,H,12,7,4,4,13,17,3,2,0,3,0,0,1.18,7.5,15.0,1.18,7.5,15.0,1.21,8.14,13.13,1.18,9.2,15.0,2017-18
F1,2017-10-29,Toulouse,St Etienne,0,0,D,0,0,D,11,4,4,2,16,19,7,1,2,3,0,0,2.2,3.1,3.6,2.3,3.2,3.3,2.26,3.2,3.69,2.39,3.15,3.51,2017-18
F1,2017-11-03,Rennes,Bordeaux,1,0,H,1,0,H,6,6,2,0,14,26,8,0,2,5,0,0,3.25,3.25,2.29,3.4,3.1,2.3,3.37,3.27,2.36,3.28,3.27,2.41,2017-18
