Date,Time,Matchday,HomeTeam,AwayTeam,Status
2027-05-07,08:00 PM ET,31,Brest,Auxerre,SCHEDULED
2027-05-07,08:00 PM ET,31,Le Mans FC,ES Troyes AC,SCHEDULED
2027-05-07,08:00 PM ET,31,Stade Rennais FC 1901,Le Havre,SCHEDULED
2027-05-07,08:00 PM ET,31,Racing Club de Lens,Monaco,SCHEDULED
2027-05-07,08:00 PM ET,31,Angers,Toulouse,SCHEDULED
2027-05-07,08:00 PM ET,31,Nice,Marseille,SCHEDULED
2027-05-09,02:45 PM ET,31,Lyon,Paris SG,TIMED
2027-05-15,08:00 PM ET,32,Monaco,Paris FC,SCHEDULED
2027-05-15,08:00 PM ET,32,Lyon,Le Mans FC,SCHEDULED
2027-05-15,08:00 PM ET,32,Paris SG,Nice,SCHEDULED
2027-05-15,08:00 PM ET,32,Toulouse,Lorient,SCHEDULED
2027-05-15,08:00 PM ET,32,Brest,Le Havre,SCHEDULED
2027-05-15,08:00 PM ET,32,Marseille,Racing Club de Lens,SCHEDULED
2027-05-15,08:00 PM ET,32,Lille,Angers,SCHEDULED
2027-05-15,08:00 PM ET,32,Auxerre,Stade Rennais FC 1901,SCHEDULED
2027-05-15,08:00 PM ET,32,Strasbourg,ES Troyes AC,SCHEDULED
2027-05-21,08:00 PM ET,33,Nice,Monaco,SCHEDULED
2027-05-21,08:00 PM ET,33,Angers,Brest,SCHEDULED
2027-05-21,08:00 PM ET,33,Lorient,Lyon,SCHEDULED
2027-05-21,08:00 PM ET,33,ES Troyes AC,Paris SG,SCHEDULED
2027-05-21,08:00 PM ET,33,Le Mans FC,Strasbourg,SCHEDULED
2027-05-21,08:00 PM ET,33,Toulouse,Auxerre,SCHEDULED
2027-05-21,08:00 PM ET,33,Le Havre,Lille,SCHEDULED
2027-05-21,08:00 PM ET,33,Paris FC,Marseille,SCHEDULED
2027-05-21,08:00 PM ET,33,Racing Club de Lens,Stade Rennais FC 1901,SCHEDULED
2027-05-28,08:00 PM ET,34,Monaco,ES Troyes AC,SCHEDULED
2027-05-28,08:00 PM ET,34,Paris SG,Toulouse,SCHEDULED
2027-05-28,08:00 PM ET,34,Lille,Le Mans FC,SCHEDULED
2027-05-28,08:00 PM ET,34,Brest,Racing Club de Lens,SCHEDULED
2027-05-28,08:00 PM ET,34,Marseille,Lorient,SCHEDULED
2027-05-28,08:00 PM ET,34,Stade Rennais FC 1901,Angers,SCHEDULED
2027-05-28,08:00 PM ET,34,Lyon,Paris FC,SCHEDULED
2027-05-28,08:00 PM ET,34,Auxerre,Le Havre,SCHEDULED
2027-05-28,08:00 PM ET,34,Strasbourg,Nice,SCHEDULED
